Pfam interactions observed in ./pdb_to_interactions.tsv, and their URLs:
PF13417	PF00043	http://www.ipfam.org/family/PF13417/fam_int/PF00043/sequence?interaction=270953
PF00043	PF13417	http://www.ipfam.org/family/PF00043/fam_int/PF13417/sequence?interaction=270947
PF15447	PF05424	http://www.ipfam.org/family/PF15447/fam_int/PF05424/sequence?interaction=120656
PF01395	PF01395	http://www.ipfam.org/family/PF01395/fam_int/PF01395/sequence?interaction=172030
PF00303	PF00303	http://www.ipfam.org/family/PF00303/fam_int/PF00303/sequence?interaction=208385
PF13489	PF13489	http://www.ipfam.org/family/PF13489/fam_int/PF13489/sequence?interaction=75032
PF02800	PF00044	http://www.ipfam.org/family/PF02800/fam_int/PF00044/sequence?interaction=267175
PF00406	PF05191	http://www.ipfam.org/family/PF00406/fam_int/PF05191/sequence?interaction=208229
PF00208	PF02812	http://www.ipfam.org/family/PF00208/fam_int/PF02812/sequence?interaction=335219
PF13855	PF13855	http://www.ipfam.org/family/PF13855/fam_int/PF13855/sequence?interaction=200200
PF00026	PF00026	http://www.ipfam.org/family/PF00026/fam_int/PF00026/sequence?interaction=279901
PF13855	PF13504	http://www.ipfam.org/family/PF13855/fam_int/PF13504/sequence?interaction=200201
PF07977	PF07977	http://www.ipfam.org/family/PF07977/fam_int/PF07977/sequence?interaction=156870
PF02812	PF00208	http://www.ipfam.org/family/PF02812/fam_int/PF00208/sequence?interaction=335229
PF05424	PF05424	http://www.ipfam.org/family/PF05424/fam_int/PF05424/sequence?interaction=68305
PF00044	PF02800	http://www.ipfam.org/family/PF00044/fam_int/PF02800/sequence?interaction=267178
PF01126	PF01126	http://www.ipfam.org/family/PF01126/fam_int/PF01126/sequence?interaction=275461
PF00186	PF00303	http://www.ipfam.org/family/PF00186/fam_int/PF00303/sequence?interaction=208400
PF07703	PF00207	http://www.ipfam.org/family/PF07703/fam_int/PF00207/sequence?interaction=254537
PF00043	PF00043	http://www.ipfam.org/family/PF00043/fam_int/PF00043/sequence?interaction=270946
PF00956	PF00956	http://www.ipfam.org/family/PF00956/fam_int/PF00956/sequence?interaction=161512
PF00215	PF00215	http://www.ipfam.org/family/PF00215/fam_int/PF00215/sequence?interaction=96506
PF02798	PF00043	http://www.ipfam.org/family/PF02798/fam_int/PF00043/sequence?interaction=328425
PF09229	PF09229	http://www.ipfam.org/family/PF09229/fam_int/PF09229/sequence?interaction=78528
PF00043	PF02798	http://www.ipfam.org/family/PF00043/fam_int/PF02798/sequence?interaction=328422
PF12946	PF12946	http://www.ipfam.org/family/PF12946/fam_int/PF12946/sequence?interaction=221373
PF14497	PF14497	http://www.ipfam.org/family/PF14497/fam_int/PF14497/sequence?interaction=295669
PF00266	PF00266	http://www.ipfam.org/family/PF00266/fam_int/PF00266/sequence?interaction=303537
PF02800	PF02800	http://www.ipfam.org/family/PF02800/fam_int/PF02800/sequence?interaction=267176
PF11556	PF11556	http://www.ipfam.org/family/PF11556/fam_int/PF11556/sequence?interaction=184917
PF02812	PF02812	http://www.ipfam.org/family/PF02812/fam_int/PF02812/sequence?interaction=335212
PF01835	PF07678	http://www.ipfam.org/family/PF01835/fam_int/PF07678/sequence?interaction=254536
PF00121	PF00121	http://www.ipfam.org/family/PF00121/fam_int/PF00121/sequence?interaction=95973
PF02798	PF02798	http://www.ipfam.org/family/PF02798/fam_int/PF02798/sequence?interaction=166780
PF00077	PF00077	http://www.ipfam.org/family/PF00077/fam_int/PF00077/sequence?interaction=261595
PF13561	PF13561	http://www.ipfam.org/family/PF13561/fam_int/PF13561/sequence?interaction=199254
PF00207	PF07677	http://www.ipfam.org/family/PF00207/fam_int/PF07677/sequence?interaction=254538
PF00112	PF12628	http://www.ipfam.org/family/PF00112/fam_int/PF12628/sequence?interaction=232634
PF14497	PF02798	http://www.ipfam.org/family/PF14497/fam_int/PF02798/sequence?interaction=295667
PF00112	PF00112	http://www.ipfam.org/family/PF00112/fam_int/PF00112/sequence?interaction=130462
PF10569	PF07677	http://www.ipfam.org/family/PF10569/fam_int/PF07677/sequence?interaction=254540
PF01835	PF07703	http://www.ipfam.org/family/PF01835/fam_int/PF07703/sequence?interaction=254534
PF00274	PF00274	http://www.ipfam.org/family/PF00274/fam_int/PF00274/sequence?interaction=99964
PF10569	PF07678	http://www.ipfam.org/family/PF10569/fam_int/PF07678/sequence?interaction=254539
PF00112	PF00031	http://www.ipfam.org/family/PF00112/fam_int/PF00031/sequence?interaction=248970
PF00160	PF00160	http://www.ipfam.org/family/PF00160/fam_int/PF00160/sequence?interaction=159610
PF00550	PF00550	http://www.ipfam.org/family/PF00550/fam_int/PF00550/sequence?interaction=98320
PF00208	PF00208	http://www.ipfam.org/family/PF00208/fam_int/PF00208/sequence?interaction=335202
PF00481	PF00481	http://www.ipfam.org/family/PF00481/fam_int/PF00481/sequence?interaction=340051
PF01835	PF00207	http://www.ipfam.org/family/PF01835/fam_int/PF00207/sequence?interaction=254535
PF01048	PF01048	http://www.ipfam.org/family/PF01048/fam_int/PF01048/sequence?interaction=269504
PF02798	PF14497	http://www.ipfam.org/family/PF02798/fam_int/PF14497/sequence?interaction=295670
PF07678	PF07677	http://www.ipfam.org/family/PF07678/fam_int/PF07677/sequence?interaction=254541
PF00056	PF02866	http://www.ipfam.org/family/PF00056/fam_int/PF02866/sequence?interaction=279810
